2023-11-26T19:55:10+01:00
Running scripts/benchmark.py
Run on (8 X 2300 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB
  L1 Instruction 32 KiB
  L2 Unified 256 KiB (x4)
  L3 Unified 6144 KiB
Load Average: 3.77, 3.78, 4.17
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"np_unique_uniform",1,3.11674e+09,3.08836e+09,ns,,,,,
"tb_copy_uniform",36,1.66725e+07,1.66166e+07,ns,,,,,
"tb_unique_uniform",9,7.3581e+07,7.32469e+07,ns,,,,,
"tb_unique_binary_uniform",2,3.01035e+08,2.99561e+08,ns,,,,,
"tb_unique_ankerl_uniform",29,2.39398e+07,2.36988e+07,ns,,,,,
"np_unique_normal",1,3.43236e+09,3.41925e+09,ns,,,,,
"tb_copy_normal",39,1.82872e+07,1.82115e+07,ns,,,,,
"tb_unique_normal",9,7.57928e+07,7.53876e+07,ns,,,,,
"tb_unique_binary_normal",2,3.36924e+08,3.35231e+08,ns,,,,,
"tb_unique_ankerl_normal",25,2.32602e+07,2.31579e+07,ns,,,,,
